city,temp,feels_like,wind_speed,humidity,description,sunrise,sunset,timestamp
Absecon,33.944000000000074,25.970000000000063,4.63,46,clear sky,07:10:47,17:09:41,2025-01-25 16:46:40.625699
Asbury Park,32.14400000000008,23.180000000000042,5.14,42,clear sky,07:10:41,17:05:54,2025-01-25 16:46:40.693902
Atlantic City,33.35,33.35,0.45,48,few clouds,07:10:20,17:09:32,2025-01-25 16:46:40.753544
Bayonne,46.04000000000002,43.10600000000003,2.57,93,broken clouds,08:28:14,18:07:30,2025-01-25 16:46:40.817504
Bergenfield,29.768000000000086,19.688000000000045,5.66,46,overcast clouds,07:12:19,17:04:09,2025-01-25 16:46:40.886599
Bloomfield,30.128000000000064,20.660000000000082,5.14,46,overcast clouds,07:12:47,17:05:11,2025-01-25 16:46:40.952159
Camden,33.20600000000003,33.20600000000003,0.89,52,scattered clouds,07:13:29,17:10:45,2025-01-25 16:46:41.011472
Cape May,34.772000000000034,28.18399999999999,3.6,20,clear sky,07:11:17,17:12:27,2025-01-25 16:46:41.079667
Cherry Hill,33.22400000000001,24.044000000000075,5.66,49,few clouds,07:14:06,17:10:39,2025-01-25 16:46:41.146118
Clifton,29.98399999999999,20.48000000000004,5.14,46,overcast clouds,07:12:49,17:04:59,2025-01-25 16:46:41.196755
East Orange,30.308000000000003,20.894000000000073,5.14,46,few clouds,07:12:46,17:05:22,2025-01-25 16:46:41.257725
Edison,31.333999999999993,24.76400000000003,3.09,45,scattered clouds,07:13:00,17:06:47,2025-01-25 16:46:41.314791
Elizabeth,31.13600000000007,22.478000000000065,4.63,44,few clouds,07:12:32,17:05:38,2025-01-25 16:46:41.381674
Englewood,20.390000000000022,10.670000000000062,3.6,81,light snow,07:13:11,17:11:15,2025-01-25 16:46:41.437395
Ewing,31.35200000000008,24.782000000000018,3.09,47,scattered clouds,07:13:57,17:08:56,2025-01-25 16:46:41.494089
Fort Lee,29.60600000000003,19.472000000000037,5.66,44,broken clouds,07:12:02,17:04:13,2025-01-25 16:46:41.545223
Franklin,36.77000000000006,26.348000000000024,8.75,57,overcast clouds,07:46:06,17:42:32,2025-01-25 16:46:41.600997
Garfield,43.952000000000076,37.63399999999999,5.62,46,overcast clouds,07:37:53,17:51:09,2025-01-25 16:46:41.662473
Glassboro,33.062000000000054,29.3,1.79,54,scattered clouds,07:13:52,17:11:31,2025-01-25 16:46:41.718210
Hackensack,30.254000000000055,20.299999999999997,5.66,46,overcast clouds,07:12:24,17:04:26,2025-01-25 16:46:41.779433
Hoboken,31.04600000000005,21.29000000000002,5.66,43,broken clouds,07:12:01,17:04:44,2025-01-25 16:46:41.838903
Irvington,30.236000000000068,20.804000000000052,5.14,46,few clouds,07:12:48,17:05:34,2025-01-25 16:46:41.898293
Jersey City,30.97400000000001,21.2,5.66,44,few clouds,07:12:10,17:04:57,2025-01-25 16:46:41.950099
Linden,73.49000000000002,75.05600000000004,1.27,96,scattered clouds,06:10:09,18:00:44,2025-01-25 16:46:42.022609
Long Branch,32.07200000000004,23.090000000000018,5.14,41,clear sky,07:10:49,17:05:37,2025-01-25 16:46:42.110611
Marlboro,28.07600000000009,19.31000000000008,4.12,48,overcast clouds,07:13:53,17:02:23,2025-01-25 16:46:42.182401
Middletown,39.61400000000003,30.68600000000007,7.72,55,clear sky,07:50:34,17:49:07,2025-01-25 16:46:42.251634
Newark,30.938000000000045,21.668000000000085,5.14,44,few clouds,07:12:34,17:05:19,2025-01-25 16:46:42.324197
North Bergen,30.128000000000064,20.138000000000044,5.66,43,broken clouds,07:12:05,17:04:30,2025-01-25 16:46:42.393282
Parsippany-Troy Hills,29.03000000000004,19.85,4.63,50,broken clouds,07:13:51,17:05:58,2025-01-25 16:46:42.498292
Perth Amboy,31.424000000000014,24.872000000000035,3.09,45,scattered clouds,07:12:23,17:06:14,2025-01-25 16:46:42.559921
Phillipsburg,28.814000000000032,21.991999999999997,2.93,64,overcast clouds,07:16:32,17:09:29,2025-01-25 16:46:42.615859
Plainfield,30.77600000000009,24.08000000000004,3.09,46,scattered clouds,07:13:15,17:06:35,2025-01-25 16:46:42.676803
Princeton,69.63800000000005,69.08000000000004,8.75,59,scattered clouds,07:07:31,18:00:15,2025-01-25 16:46:42.744081
Rahway,31.154000000000053,22.49600000000005,4.63,45,scattered clouds,07:12:41,17:06:02,2025-01-25 16:46:42.808928
Randolph,45.69800000000002,42.69199999999999,2.57,27,clear sky,07:23:54,17:39:07,2025-01-25 16:46:42.865387
Red Bank,31.964000000000034,22.964000000000034,5.14,42,clear sky,07:11:12,17:05:48,2025-01-25 16:46:42.915844
Ridgewood,29.858000000000004,20.318000000000083,5.14,48,overcast clouds,07:12:55,17:04:30,2025-01-25 16:46:42.977356
Roselle,37.97600000000009,28.904000000000053,7.2,56,scattered clouds,07:11:13,16:57:56,2025-01-25 16:46:43.036427
Sayreville,31.208000000000006,28.418000000000085,1.34,46,scattered clouds,07:12:39,17:06:44,2025-01-25 16:46:43.108869
Somerville,28.706000000000028,16.538000000000046,7.72,51,scattered clouds,07:04:21,16:48:56,2025-01-25 16:46:43.161541
Teaneck,29.930000000000042,19.886000000000067,5.66,46,overcast clouds,07:12:20,17:04:18,2025-01-25 16:46:43.228818
Trenton,31.85600000000003,25.37600000000009,3.09,47,scattered clouds,07:13:36,17:08:50,2025-01-25 16:46:43.281014
Union City,53.34800000000003,50.45,4.47,44,broken clouds,07:16:40,17:24:02,2025-01-25 16:46:43.342551
Vineland,33.09800000000003,27.391999999999996,2.77,79,few clouds,07:13:02,17:11:40,2025-01-25 16:46:43.392256
West New York,30.308000000000003,20.354000000000052,5.66,44,broken clouds,07:12:03,17:04:33,2025-01-25 16:46:43.456018
West Orange,29.24600000000005,19.562000000000054,5.14,47,overcast clouds,07:12:59,17:05:26,2025-01-25 16:46:43.518540
Woodbridge,31.478000000000065,22.891999999999996,4.63,44,scattered clouds,07:12:35,17:06:11,2025-01-25 16:46:43.576015
East Brunswick,30.991999999999997,28.18399999999999,1.34,46,scattered clouds,07:12:48,17:07:01,2025-01-25 16:46:43.635444
Mount Laurel,33.11600000000001,23.918000000000085,5.66,49,few clouds,07:13:32,17:10:05,2025-01-25 16:46:43.700132
